Team,Won-Lost Percentage,Scoring Offense,Scoring Defense,Scoring Margin,Field-Goal Percentage,Field-Goal Percentage Defense,Three-Point Field Goals Per Game,Three-Point Field-Goal Percentage,Three Pt FG Defense,Free-Throw Percentage,Rebound Margin,Assists Per Game,Assist Turnover Ratio,Blocked Shots Per Game,Steals Per Game,Turnovers Per Game,Turnover Margin,Personal Fouls Per Game,Total Blocks,Total Assists,Total Rebounds,Free Throw Attempts,Free Throws Made,3-pt Field Goal Attempts,Total 3-point FGM,Total Steals,Fewest Turnovers,Fewest Fouls,Offensive Rebounds Per Game,Defensive Rebounds per Game,Turnovers Forced,Total Rebounds Per Game,Seed
Arizona,75.8,81.2,69,12.2,48.2,41.3,6.5,38.3,32.1,72.3,9.2,14.5,1.13,4.8,4.9,12.8,-1.2,18.2,158,479,1328,848,613,562,215,162,423,601,11.64,28.61,11.61,40.24,6
Austin Peay,51.4,76,75.9,0.1,46.3,45.7,6.3,34.8,35.9,67,2.7,13.5,0.97,2.9,6.9,14,-0.6,17.4,101,473,1289,899,602,630,219,242,490,610,11.63,25.2,13.43,36.83,16
Baylor,66.7,77.2,69.2,7.9,46.7,44.4,6.2,36.7,36.7,72.7,7.9,17.8,1.38,4,7.9,12.9,0.8,19.3,133,587,1234,737,536,556,204,260,425,636,13.73,23.67,13.7,37.39,5
Buffalo,58.8,77.6,75.1,2.4,43.8,43.2,7.4,33.7,33.9,71,3,12.7,0.93,3.6,6.9,13.7,-0.4,21.3,123,433,1330,845,600,750,253,236,465,723,12.26,26.85,13.24,39.12,14
Butler,67.7,80.6,71.2,9.4,46.6,43.1,7.1,38.7,33.9,73.1,3.5,14.4,1.4,3.4,6.8,10.2,2.9,19.9,104,445,1129,741,542,569,220,210,317,617,11.42,25,13.13,36.42,9
California,69.7,75.1,67,8.1,46.1,39.3,7.1,36.9,35.1,65.6,6.7,13,1.06,4.8,4.1,12.2,-2.5,20.7,159,428,1319,780,512,632,233,136,403,682,11.33,28.64,9.73,39.97,4
Chattanooga,85.3,75.8,66.6,9.2,45.6,43.4,7.6,36.4,32.4,73.3,3.4,14.6,1.17,4.8,7.8,12.4,1.8,17,163,495,1218,793,581,712,259,265,422,577,10.94,24.88,14.24,35.82,12
Cincinnati,68.8,73.2,62.9,10.3,42.8,39,7.6,34.5,35.6,70.4,4.8,15.5,1.4,5.8,7.9,11.1,2.8,15.6,186,495,1260,645,454,701,242,254,354,500,13.5,25.88,13.88,39.38,9
Colorado,66.7,76,70.7,5.3,42.5,41.9,7.6,39.2,35.5,73.8,8.9,13.8,1.03,5,5.2,13.4,-2.3,18.7,165,454,1400,779,575,637,250,172,442,616,13.24,29.18,11.06,42.42,8
CSU Bakersfield,75,73,63.2,9.8,45.1,39.1,5.4,34.4,32,65.3,4,15.7,1.28,5.1,8,12.2,3.1,21.5,162,501,1226,712,465,506,174,257,391,687,12.53,25.78,15.31,38.31,15
